x y
997.4728299413238 409.6516076601588
398.7648920271465 815.3500196572147
1001.7458497093094 389.8344987648031
102.8349966971785 501.66604294843313
596.8534561646027 1298.790545402846
1006.6777411369904 403.79209445395503
1308.4768480269213 1194.3693553702785
198.54114229084175 1094.5848187391985
403.9455127062142 810.5609720523067
1304.8737571703875 1205.2466975818
98.20234656144831 498.2927955011713
587.8553182111832 1307.821968321052
95.52753508668208 492.1878666537113
204.0605518845179 1106.3024883774642
388.93166201944416 801.1621669921503
217.66789008911627 1108.963615343146
93.97486340379157 502.67395783084606
393.5247295848864 804.0615261245134
1297.1065884503746 1216.9563315485686
1000.3354648133477 411.0345702748921
1291.1468481693773 1211.5381828411707
1272.2643932449341 1190.2600557696019
1297.9650346854228 1208.1941369168555
90.47894023488617 492.2948317181817
993.1969958174896 406.5279646745126
190.70638963406407 1093.2982761080286
1299.7333153052934 1201.2008905604955
597.9769290630088 1304.3768489540964
1002.50550333105 388.9802747060079
207.9519911388902 1092.5030780941001
1320.9334614806626 1204.6345756510882
113.44403700775169 497.6076741514036
392.51900431457165 786.9466640845202
396.5667528670084 798.3116394247626
103.33108511986678 509.86998318290523
391.6930713577733 774.8095860745707
420.32638555143194 788.8871374745075
203.06788744331442 1101.7680795211586
602.2033182889414 1299.3249952597462
192.2161746378273 1107.9999387158452
987.3836225861282 410.8438044729067
1011.331372208724 413.3639906332513
394.2938409081739 805.3460257362102
600.9933875125022 1289.3381475670176
602.3215325732349 1289.8984899631005
600.258249562399 1289.5134831066223
601.6034037380373 1282.2546748431223
102.58204738811425 498.8667063249692
995.1427653223897 405.96366703079804
1305.082231873228 1209.1105823098255
192.13063428576817 1092.8056099785135
595.7121568691872 1298.7522460117425
1299.7201405691872 1212.61753879675
81.04206694328025 500.59655943211067
194.49606017524275 1109.8726147743025
405.43541659921385 815.8422702965076
93.2659763113534 504.621115985523
606.5347531434193 1299.258655824443
1000.2532993894985 413.85557051333507
195.65319051091498 1090.9961862637535
